No,TICKER,NAMA PERUSAHAAN,2021,,,,,,,,2022,,,,,,,,2023,,,,,,,,2024,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Total Aset,Total Liabilitas,Total Net Income,Total Operating Cash Flow,Total Current Assets,Total Current Liabilities,Amortisasi,Total Depresiasi,Total Aset,Total Liabilitas,Total Net Income,Total Operating Cash Flow,Total Current Assets,Total Current Liabilities,Amortisasi,Total Depresiasi,Total Aset,Total Liabilitas,Total Net Income,Total Operating Cash Flow,Total Current Assets,Total Current Liabilities,Amortisasi,Total Depresiasi,Total Aset,Total Liabilitas,Total Net Income,Total Operating Cash Flow,Total Current Assets,Total Current Liabilities,Amortisasi,Total Depresiasi
1,AALI,Astra Agro Lestari Tbk.,"  30,399,906,000,000 ","  9,228,733,000,000 ","  2,067,362,000,000 ","  4,895,119,000,000 ","  7,390,608,000,000 ","  5,960,396,000,000 ",,"  1,271,208,000,000 ","  29,249,340,000,000 ","  7,006,119,000,000 ","  1,792,050,000,000 ","  1,835,397,000,000 ","  7,390,608,000,000 ","  2,052,939,000,000 ",,"  1,296,476,000,000 ","  28,846,243,000,000 ","  6,280,237,000,000 ","  1,088,170,000,000 ","  2,538,738,000,000 ","  7,118,202,000,000 ","  3,882,141,000,000 ",,"  1,363,412,000,000 ","  28,793,225,000,000 ","  5,591,163,000,000 ","  1,186,783,000,000 ","  3,379,195,000,000 ","  8,433,638,000,000 ","  3,237,653,000,000 ",,"  1,436,180,000,000 "
2,ADES,Akasha Wira International Tbk.,"  1,304,108,000,000 ","  334,291,000,000 ","  265,758,000,000 ","  308,341,000,000 ","  673,394,000,000 ","  268,367,000,000 ","  1,741,000,000 ","  38,510,000,000 ","  1,645,582,000,000 ","  310,746,000,000 ","  364,972,000,000 ","  312,748,000,000 ","  815,319,000,000 ","  254,719,000,000 ","  1,227,000,000 ","  40,598,000,000 ","  2,085,182,000,000 ","  355,374,000,000 ","  395,798,000,000 ","  459,648,000,000 ","  1,230,110,000,000 ","  298,814,000,000 ","  776,000,000 ","  44,418,000,000 ","  2,696,874,000,000 ","  438,373,000,000 ","  527,368,000,000 ","  471,800,000,000 ","  1,551,646,000,000 ","  383,789,000,000 ","  164,000,000 ","  55,939,000,000 "
3,AISA,FKS Food Sejahtera Tbk.,"  1,761,634,000,000 ","  927,877,000,000 ","  5,762,000,000 ","- 84,864,000,000 ","  432,800,000,000 ","  720,020,000,000 ",,"  58,286,000,000 ","  1,826,350,000,000 ","  1,048,489,000,000 ","- 62,359,000,000 ","- 41,789,000,000 ","  558,960,000,000 ","  827,907,000,000 ",,"  62,735,000,000 ","  1,850,004,000,000 ","  881,806,000,000 ","  18,796,000,000 ","  78,479,000,000 ","  496,669,000,000 ","  659,907,000,000 ",,"  61,076,000,000 ","  1,964,172,000,000 ","  918,034,000,000 ","  69,482,000,000 ","  271,662,000,000 ","  620,106,000,000 ","  584,216,000,000 ",,"  78,681,000,000 "
4,AMRT,Sumber Alfaria Trijaya Tbk.,"  27,370,210,000,000 ","  17,942,427,000,000 ","  1,963,050,000,000 ","  6,335,963,000,000 ","  14,211,903,000,000 ","  16,376,061,000,000 ",,"  3,140,580,000,000 ","  30,746,266,000,000 ","  19,275,574,000,000 ","  2,907,478,000,000 ","  7,062,488,000,000 ","  15,664,200,000,000 ","  17,389,232,000,000 ",,"  3,265,639,000,000 ","  34,246,183,000,000 ","  18,540,983,000,000 ","  3,484,025,000,000 ","  6,817,021,000,000 ","  17,325,874,000,000 ","  17,262,927,000,000 ",,"  3,656,876,000,000 ","  38,798,382,000,000 ","  21,102,439,000,000 ","  3,220,083,000,000 ","  8,063,130,000,000 ","  20,340,708,000,000 ","  19,468,528,000,000 ",,"  4,187,983,000,000 "
5,ANJT,"Austindo Nusantara Jaya Tbk.      Rate 2021 IDR -> USD 0.000070
Rate 2022 IDR -> USD 0.000064      Rate 2023 IDR -> USD 0.000065            Rate 2024 IDR -> USD 0.000062 ","  9,087,768,742,857 ","  3,434,092,242,857 ","  522,670,771,429 ","  1,182,860,357,143 ","  1,111,419,514,286 ","  696,831,185,714 ",,"  354,429,985,714 ","  9,415,476,156,250 ","  3,427,720,265,625 ","  330,551,375,000 ","  937,429,015,625 ","  924,186,968,750 ","  632,345,078,125 ",,"  436,230,218,750 ","  5,334,812,676,923 ","  81,773,461,538 ","  75,001,984,615 ","- 21,523,800,000 ","  37,496,276,923 ","  81,773,461,538 ",,"  425,468,230,769 ","  5,637,025,790,323 ","  13,456,516,129 ","  148,008,306,452 ","- 64,714,838,710 ","  110,288,612,903 ","  13,456,516,129 ",,"  454,542,419,355 "
6,BISI,BISI International Tbk.,"  3,132,202,000,000 ","  404,157,000,000 ","  380,992,000,000 ","  652,538,000,000 ","  2,468,374,000,000 ","  346,045,000,000 ",,"  41,858,000,000 ","  3,410,481,000,000 ","  360,231,000,000 ","  523,242,000,000 ","  668,145,000,000 ","  2,699,403,000,000 ","  306,752,000,000 ",,"  45,473,000,000 ","  3,901,820,000,000 ","  455,124,000,000 ","  600,446,000,000 ","  42,910,000,000 ","  2,945,199,000,000 ","  401,461,000,000 ",,"  49,559,000,000 ","  3,634,529,000,000 ","  244,074,000,000 ","  182,109,000,000 ","- 146,282,000,000 ","  2,572,633,000,000 ","  192,052,000,000 ",,"  57,020,000,000 "
7,BUDI,Budi Starch & Sweetener Tbk.,"  2,993,218,000,000 ","  1,605,521,000,000 ","  69,457,000,000 ","  190,973,000,000 ","  1,320,277,000,000 ","  1,131,686,000,000 ",,"  160,177,000,000 ","  3,068,423,000,000 ","  1,649,593,000,000 ","  67,125,000,000 ","  93,996,000,000 ","  1,493,669,000,000 ","  1,263,835,000,000 ",,"  150,522,000,000 ","  3,327,846,000,000 ","  1,736,519,000,000 ","  102,542,000,000 ","  190,851,000,000 ","  1,708,152,000,000 ","  1,251,674,000,000 ",,"  209,681,000,000 ","  3,817,011,000,000 ","  2,197,787,000,000 ","  67,848,000,000 ","- 257,923,000,000 ","  2,265,184,000,000 ","  1,569,209,000,000 ",,"  187,411,000,000 "
8,BWPT,Eagle High Plantations Tbk.,,,,,,,,,"12,223,568,000,000","10,173,925,000,000","17,478,000,000",,"1,883,769,000,000","3,394,292,000,000",,,"  10,183,510,000,000 ","  7,991,960,000,000 ","  159,970,000,000 ",,"  1,300,009,000,000 ","  3,513,085,000,000 ",,,"  9,794,380,000,000 ","  7,342,291,000,000 ","  272,132,000,000 ",,"  1,420,678,000,000 ","  2,945,123,000,000 ",,
9,CEKA,Wilmar Cahaya Indonesia Tbk.,"  1,697,387,196,209 ","  310,020,233,374 ","  187,066,990,085 ","- 91,481,686,113 ","  1,358,085,356,038 ","  283,104,828,760 ",,"  289,159,569,247 ","  1,718,287,453,575 ","  168,244,583,827 ","  220,704,543,072 ","  11,867,530,566 ","  1,383,998,340,429 ","  139,037,021,213 ",,"  314,218,195,070 ","  1,893,560,797,758 ","  251,275,135,465 ","  153,574,779,624 ","  542,472,806,836 ","  1,581,591,507,205 ","  217,016,302,851 ",,"  338,790,244,923 ","  2,385,281,736,023 ","  476,490,666,860 ","  324,942,516,449 ","- 18,117,428,606 ","  2,076,912,812,377 ","  437,745,255,246 ",,"  348,653,976,618 "
10,CPIN,Charoen Pokphand Indonesia Tbk,"  35,446,051,000,000 ","  10,296,052,000,000 ","  3,619,010,000,000 ","  2,121,905,000,000 ","  15,715,060,000,000 ","  7,836,101,000,000 ",,"  7,900,572,000,000 ","  39,847,545,000,000 ","  13,520,331,000,000 ","  2,930,357,000,000 ","  1,673,887,000,000 ","  18,031,436,000,000 ","  10,109,335,000,000 ",,"  8,771,626,000,000 ","  40,970,800,000,000 ","  13,942,042,000,000 ","  2,318,088,000,000 ","  3,146,254,000,000 ","  18,324,808,000,000 ","  11,123,822,000,000 ",,"  9,923,136,000,000 ","  42,791,000,000,000 ","  12,502,078,000,000 ","  3,711,601,000,000 ","  4,305,814,000,000 ","  21,339,691,000,000 ","  8,589,572,000,000 ",,"  11,235,755,000,000 "
11,CPRO,Central Proteina Prima Tbk.,"  6,444,438,000,000 ","  3,570,697,000,000 ","  2,209,313,000,000 ","  99,209,000,000 ","  1,818,753,000,000 ","  2,055,151,000,000 ",,,"  6,833,737,000,000 ","  3,651,905,000,000 ","  373,978,000,000 ","  284,210,000,000 ","  2,162,539,000,000 ","  1,981,666,000,000 ",,"  1,948,806,000,000 ","  6,856,338,000,000 ","  3,436,635,000,000 ","  401,774,000,000 ","  323,485,000,000 ","  2,374,088,000,000 ","  2,228,182,000,000 ",,"  1,763,517,000,000 ","  6,706,321,000,000 ","  3,137,670,000,000 ","  320,155,000,000 ","  765,703,000,000 ","  2,431,199,000,000 ","  2,366,954,000,000 ",,"  1,543,197,000,000 "
12,DLTA,Delta Djakarta Tbk.,"  1,308,722,065,000 ","  298,548,048,000 ","  190,439,817,000 ","  335,398,629,000 ","  1,174,393,432,000 ","  244,206,806,000 ",,"  430,426,648,000 ","  1,307,186,367,000 ","  306,410,502,000 ","  230,065,807,000 ","  196,829,126,000 ","  1,165,412,820,000 ","  255,354,186,000 ",,"  412,693,957,000 ","  1,208,050,010,000 ","  273,635,750,000 ","  199,611,841,000 ","  135,317,376,000 ","  1,060,254,527,000 ","  216,736,168,000 ",,"  428,246,934,000 ","  1,118,177,188,000 ","  268,273,068,000 ","  142,367,399,000 ","  177,516,395,000 ","  959,222,731,000 ","  206,921,572,000 ",,"  431,065,219,000 "
13,DSFI,Dharma Samudera Fishing Indust,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,DSNG,Dharma Satya Nusantara Tbk.,"  13,712,160,000,000 ","  6,686,697,000,000 ","  739,649,000,000 ","  1,055,505,000,000 ","  2,321,635,000,000 ","  1,856,163,000,000 ","  239,916,000,000 ","  372,155,000,000 ","  15,357,229,000,000 ","  7,197,089,000,000 ","  1,206,587,000,000 ","  1,538,027,000,000 ","  3,229,582,000,000 ","  3,022,162,000,000 ","  245,419,000,000 ","  490,287,000,000 ","  16,178,278,000,000 ","  7,288,850,000,000 ","  841,665,000,000 ","  1,874,372,000,000 ","  2,949,268,000,000 ","  2,945,961,000,000 ","  254,162,000,000 ","  569,294,000,000 ","  17,412,416,000,000 ","  7,515,101,000,000 ","  1,141,375,000,000 ","  2,150,615,000,000 ","  2,897,246,000,000 ","  2,530,342,000,000 ","  261,087,000,000 ","  653,032,000,000 "
15,EPMT,Enseval Putera Megatrading Tbk,"9,729,919,645,520","2,882,998,501,598","847,881,142,916",,"8,128,487,195,074","2,767,290,257,087",,,"10,402,356,853,033","3,264,730,959,090","847,532,822,398",,"8,783,144,098,407","3,157,202,842,675",,,"10,955,849,005,936","3,658,018,645,691","688,498,562,591",,"9,247,469,256,514","3,555,185,304,448",,,"11,487,396,544,564","3,909,755,238,452","741,773,914,585",,"9,610,394,546,074","3,788,901,761,787",,
16,FISH,FKS Multi Agro Tbk.,"537,640,594","382,956,761","28,894,111",,"404,552,905","311,328,821",,,"461,463,695","294,069,760","32,243,358",,"339,299,923","234,121,571",,,"490,845,435","312,181,076","24,183,057",,"357,687,676","264,713,676",,,"522,159,891","347,204,245","8,727,192",,"380,968,968","293,869,813",,
17,GGRM,Gudang Garam Tbk.,,,,,,,,,"88,562,617,000,000","30,706,651,000,000","2,779,739,000,000",,"55,445,127,000,000","29,125,010,000,000",,,"92,450,823,000,000","31,587,980,000,000","5,324,514,000,000",,"54,115,182,000,000","29,536,433,000,000",,,"84,939,276,000,000","23,022,685,000,000","980,805,000,000",,"47,590,906,000,000","20,824,215,000,000",,
18,GZCO,Gozco Plantations Tbk.,,,,,,,,,"2,045,406,000,000","892,864,000,000","75,634,000,000",,"456,869,000,000","455,883,000,000",,,"2,118,200,000,000","949,928,000,000","2,141,000,000",,"572,320,000,000","345,365,000,000",,,"2,321,244,000,000","1,089,263,000,000","60,542,000,000",,"286,221,000,000","510,870,000,000",,
19,HERO,DFI Retail Nusantara Tbk.,,,,,,,,,"6,910,567,000,000","5,972,429,000,000","59,111,000,000",,"2,859,570,000,000","3,785,951,000,000",,,"5,766,226,000,000","4,346,104,000,000","-132,165,000,000",,"1,629,628,000,000","3,395,415,000,000",,,"4,719,768,000,000","3,226,546,000,000","-5,585,000,000",,"1,482,868,000,000","2,932,632,000,000",,
20,HMSP,H.M. Sampoerna Tbk.,,,,,,,,,"54,786,992,000,000","26,616,824,000,000","6,323,744,000,000",,"41,362,998,000,000","24,545,594,000,000",,,"55,316,264,000,000","25,446,411,000,000","8,096,811,000,000",,"40,066,044,000,000","23,302,684,000,000",,,"54,290,706,000,000","25,934,279,000,000","6,645,774,000,000",,"38,517,929,000,000","23,669,887,000,000",,
21,ICBP,Indofood CBP Sukses Makmur Tbk,,,,,,,,,"115,305,536,000,000","57,832,529,000,000","4,587,367,000,000",,"31,070,365,000,000","10,033,935,000,000",,,"119,267,076,000,000","57,163,043,000,000","6,990,572,000,000",,"36,773,465,000,000","10,464,225,000,000",,,"126,040,905,000,000","58,997,020,000,000","7,079,369,000,000",,"44,667,549,000,000","10,924,773,000,000",,
22,INDF,Indofood Sukses Makmur Tbk.,,,,,,,,,"180,433,300,000,000","86,810,262,000,000","6,359,094,000,000",,"54,876,668,000,000","30,725,942,000,000",,,"186,587,957,000,000","86,123,066,000,000","8,147,019,000,000",,"63,101,797,000,000","32,914,504,000,000",,,"201,713,313,000,000","92,722,030,000,000","8,641,612,000,000",,"79,765,476,000,000","37,094,061,000,000",,
23,JAWA,Jaya Agra Wattie Tbk.,,,,,,,,,"3,589,642,467,446","3,471,237,598,677","-300,206,074,060",,"262,493,584,472","655,779,238,220",,,"3,656,226,625,457","2,674,644,786,344","-302,478,451,258",,"271,712,439,754","600,966,231,776",,,"3,867,576,733,424","2,501,593,394,303","-193,042,953,159",,"531,762,585,440","533,367,481,762",,
24,JPFA,Japfa Comfeed Indonesia Tbk.,,,,,,,,,"32,690,887,000,000","19,036,110,000,000","1,419,855,000,000",,"17,001,468,000,000","9,412,440,000,000",,,"34,109,431,000,000","19,942,219,000,000","929,716,000,000",,"17,218,323,000,000","10,684,062,000,000",,,"34,666,283,000,000","18,093,761,000,000","3,018,892,000,000",,"17,169,254,000,000","9,295,556,000,000",,
25,LAPD,Leyand International Tbk.,,,,,,,,,"64,530,833","15,489,942,797","233,113,930,682",,"36,553,333","14,989,027,796",,,"203,600,012,669","159,928,064,075","-1,303,577,016",,"104,795,422,642","102,420,188,085",,,"225,049,558,299","196,705,082,827","-13,683,761,697",,"126,900,591,847","136,807,637,322",,
26,LSIP,PP London Sumatra Indonesia Tb,,,,,,,,,"12,417,013,000,000","1,481,306,000,000","1,036,448,000,000",,"5,107,489,000,000","709,627,000,000",,,"12,514,203,000,000","1,166,762,000,000","761,995,000,000",,"5,376,837,000,000","564,496,000,000",,,"13,841,956,000,000","1,285,202,000,000","1,476,909,000,000",,"7,117,283,000,000","677,973,000,000",,
27,MAIN,Malindo Feedmill Tbk.,,,,,,,,,"5,746,998,087,000","3,671,859,617,000","26,239,995,000",,"2,952,189,309,000","2,524,889,763,000",,,"5,517,296,880,000","3,377,015,031,000","63,373,085,000",,"2,821,248,975,000","2,383,084,198,000",,,"5,380,045,840,000","2,747,743,014,000","488,029,417,000",,"2,848,076,485,000","1,725,205,580,000",,
28,MBTO,Martina Berto Tbk.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,MIDI,Midi Utama Indonesia Tbk.,,,,,,,,,"6,905,148,000,000","4,918,421,000,000","398,918,000,000",,"2,873,858,000,000","3,766,704,000,000",,,"7,786,109,000,000","3,873,675,000,000","516,658,000,000",,"3,185,637,000,000","3,363,103,000,000",,,"8,732,951,000,000","4,441,894,000,000","546,407,000,000",,"3,626,026,000,000","3,863,774,000,000",,
30,MLBI,Multi Bintang Indonesia Tbk.,,,,,,,,,"3,374,502,000,000","2,301,227,000,000","924,767,000,000",,"1,649,257,000,000","2,154,777,000,000",,,"3,407,442,000,000","2,015,987,000,000","1,066,178,000,000",,"1,733,206,000,000","1,870,445,000,000",,,"3,441,088,000,000","2,124,203,000,000","1,141,948,000,000",,"1,803,762,000,000","1,999,641,000,000",,
