No,TICKER,NAMA PERUSAHAAN,2021,,,,,,,,,,,,,2022,,,,,,,,,,,,2023,,,,,,,,,,,,2024,,,,,,,,,,,
,,,Altman Z score,,,,,Good Corporate Governance,,,Conservatism Accounting,,,,Return on Stock Price (+7),Altman Z score,,,,,Good Corporate Governance,,,Conservatism Accounting,,,Return on Stock Price,Altman Z score,,,,,Good Corporate Governance,,,Conservatism Accounting,,,Return on Stock Price,Altman Z score,,,,,Good Corporate Governance,,,Conservatism Accounting,,,Return on Stock Price
,,,X1,X2,X3,X4,X5,Ind Com,Man Own,In Own,Total Con ACC,Net Inc,Opr Cash Flow,Dep & Amort,,X1,X2,X3,X4,X5,Ind Com,Man Own,In Own,Net Inc,Opr Cashflow,Dep & Amort,,X1,X2,X3,X4,X5,Ind Com,Man Own,In Own,Net Inc,Opr Cashflow,Dep & Amort,,X1,X2,X3,X4,X5,Ind Com,Man Own,In Own,Net Inc,Opr Cashflow,Dep & Amort,
1,AALI,Astra Agro Lestari Tbk.,  0.05 ,  0.53 ,0.10,  1.98 ,0.80,0.5,0.00,0.80,0.19,"  2,067,362,000,000 ","  4,895,119,000,000 ","  1,271,208,000,000 ",,  0.18 ,0.58,0.08,2.20,0.75,0.50,0.00,0.80,"  1,792,050,000,000 ","  1,835,397,000,000 ","  1,296,476,000,000 ",,  0.11 ,0.60,0.05,2.15,0.72,0.50,0.00,  0.80 ,"  1,088,170,000,000 ","  2,538,738,000,000 ","  1,363,412,000,000 ",,  0.18 ,0.62,0.06,2.13,0.76,0.50,0.00,  0.80 ,"  1,186,783,000,000 ","  3,379,195,000,000 ","  1,436,180,000,000 ",
2,ADES,Akasha Wira International Tbk.,  0.31 ,  0.28 ,0.25,  5.81 ,0.72,0.33,0.00,0.92,0.41,"  265,758,000,000 ","  308,341,000,000 ","  40,251,000,000 ",,  0.34 ,0.44,0.28,13.62,0.78,0.33,  0.00 ,0.92,"  364,972,000,000 ","  312,748,000,000 ","  41,825,000,000 ",,  0.45 ,0.54,0.23,16.06,0.73,0.33,  0.00 ,0.00,"  395,798,000,000 ","  459,648,000,000 ","  45,194,000,000 ",,  0.43 ,0.61,0.23,12.25,0.73,0.33,  0.00 ,0.91,"  527,368,000,000 ","  471,800,000,000 ","  56,103,000,000 ",
3,AISA,FKS Food Sejahtera Tbk.,- 0.16 ,  0.01 ,0.03,  1.93 ,0.86,0.50,0.00,  0.64 ,-0.08,"  5,762,000,000 ","- 84,864,000,000 ","  58,286,000,000 ",,- 0.15 ,-1.65,-0.02,1.27,1.01,0.50,0.00,  0.73 ,"- 62,359,000,000 ","- 41,789,000,000 ","  62,735,000,000 ",,- 0.09 ,-1.60,0.04,1.52,0.92,0.60,0.00,  0.74 ,"  18,796,000,000 ","  78,479,000,000 ","  61,076,000,000 ",,  0.02 ,-1.51,0.07,1.07,0.98,  0.50 ,0.00,  0.74 ,"  69,482,000,000 ","  271,662,000,000 ","  78,681,000,000 ",
4,AMRT,Sumber Alfaria Trijaya Tbk.,- 0.08 ,  0.19 ,0.10,  2.81 ,3.10,0.5,  0.02 ,  0.53 ,0.19,"  1,963,050,000,000 ","  6,335,963,000,000 ","  3,140,580,000,000 ",,- 0.06 ,0.28,0.12,5.71,3.15,0.60,  0.02 ,  0.53 ,"  2,907,478,000,000 ","  7,062,488,000,000 ","  3,265,639,000,000 ",,  0.00 ,0.33,0.13,6.56,3.12,0.5,  0.01 ,  0.53 ,"  3,484,025,000,000 ","  6,817,021,000,000 ","  3,656,876,000,000 ",,  0.02 ,0.34,0.11,5.61,3.05,0.5,  0.01 ,  0.53 ,"  3,220,083,000,000 ","  8,063,130,000,000 ","  4,187,983,000,000 ",
5,ANJT,"Austindo Nusantara Jaya Tbk.      Rate 2021 IDR -> USD 0.000070
Rate 2022 IDR -> USD 0.000064      Rate 2023 IDR -> USD 0.000065            Rate 2024 IDR -> USD 0.000062 ",  0.05 ,  0.52 ,0.09,  0.97 ,0.42,0.38,  0.10 ,  0.82 ,0.15,"  522,670,771,429 ","  1,182,860,357,143 ","  354,429,985,714 ",,  0.03 ,0.58,0.07,0.65,0.45,0.375,  0.10 ,  0.82 ,"  330,551,375,000 ","  937,429,015,625 ","  436,230,218,750 ",,- 0.01 ,0.72,0.01,30.56,0.03,0.43,0.10,0.82,"  75,001,984,615 ","- 21,523,800,000 ","  425,468,230,769 ",,  0.02 ,0.74,0.03,178.22,0.04,0.43,  0.10 ,  0.82 ,"  148,008,306,452 ","- 64,714,838,710 ","  454,542,419,355 ",
6,BISI,BISI International Tbk.,  0.68 ,  0.74 ,0.15,  7.39 ,0.64,0.33,  0.00 ,  0.54 ,0.32,"  380,992,000,000 ","  652,538,000,000 ","  41,858,000,000 ",,  0.70 ,0.78,0.18,13.32,0.71,0.33,  0.00 ,0.54,"  523,242,000,000 ","  668,145,000,000 ","  45,473,000,000 ",,  0.65 ,0.78,0.18,10.55,0.59,0.50,  0.00 ,0.54,"  600,446,000,000 ","  42,910,000,000 ","  49,559,000,000 ",,  0.65 ,0.82,0.06,14.75,0.38,0.50,  0.00 ,0.65,"  182,109,000,000 ","- 146,282,000,000 ","  57,020,000,000 ",
7,BUDI,Budi Starch & Sweetener Tbk.,  0.06 ,  0.16 ,0.06,  0.50 ,0.87,0.33,0.00,  0.58 ,0.03,"  69,457,000,000 ","  190,973,000,000 ","  160,177,000,000 ",,  0.07 ,0.17,0.06,0.62,0.80,0.33,  0.00 ,0.60,"  67,125,000,000 ","  93,996,000,000 ","  150,522,000,000 ",,  0.14 ,0.17,0.07,0.72,1.19,0.33,  0.00 ,0.60,"  102,542,000,000 ","  190,851,000,000 ","  209,681,000,000 ",,  0.18 ,0.15,0.06,0.46,1.05,0.33,  0.00 ,  0.60 ,"  67,848,000,000 ","- 257,923,000,000 ","  187,411,000,000 ",
8,BWPT,Eagle High Plantations Tbk.,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.33,  0.00 ,  0.75 ,#DIV/0!,,,  -   ,,-0.12,-0.37,0.04,0.20,0.37,0.33,  0.00 ,  0.75 ,"17,478,000,000",,  -   ,,- 0.22 ,0.00,0.07,0.00,0.41,0.33,  0.00 ,  0.75 ,"  159,970,000,000 ",,  -   ,,- 0.16 ,0.00,0.09,0.00,0.44,0.33,  0.00 ,0.7470344742,"  272,132,000,000 ",,  -   ,
9,CEKA,Wilmar Cahaya Indonesia Tbk.,  0.63 ,  0.01 ,0.13,  3.61 ,3.16,0.33,  0.00 ,  0.92 ,-0.11,"  187,066,990,085 ","- 91,481,686,113 ","  289,159,569,247 ",,  0.72 ,0.01,0.16,7.00,3.58,0.33,  0.00 ,  0.87 ,"  220,704,543,072 ","  11,867,530,566 ","  314,218,195,070 ",,  0.72 ,0.01,0.10,4.37,3.37,0.50,0.00,  0.87 ,"  153,574,779,624 ","  542,472,806,836 ","  338,790,244,923 ",,  0.69 ,0.00,0.16,2.60,3.36,0.50,0.00,  0.87 ,"  324,942,516,449 ","- 18,117,428,606 ","  348,653,976,618 ",
10,CPIN,Charoen Pokphand Indonesia Tbk,  0.22 ,  0.71 ,0.14,  9.48 ,1.46,0.33,0.00,  0.56 ,-0.06,"  3,619,010,000,000 ","  2,121,905,000,000 ","  7,900,572,000,000 ",,  0.20 ,0.66,0.10,6.85,1.43,0.33,0.00,  0.56 ,"  2,930,357,000,000 ","  1,673,887,000,000 ","  8,771,626,000,000 ",,  0.18 ,0.66,0.09,5.91,1.50,0.50,0.00,  0.61 ,"  2,318,088,000,000 ","  3,146,254,000,000 ","  9,923,136,000,000 ",,  0.30 ,0.70,0.14,6.24,1.58,0.50,0.00,  0.62 ,"  3,711,601,000,000 ","  4,305,814,000,000 ","  11,235,755,000,000 ",
11,CPRO,Central Proteina Prima Tbk.,- 0.04 ,- 0.64 ,0.13,  1.58 ,1.25,0.33,  0.00 ,  0.81 ,0.36,"  2,209,313,000,000 ","  99,209,000,000 ",  -   ,,  0.03 ,-0.55,0.12,0.86,1.21,0.33,0.00,  0.66 ,"  373,978,000,000 ","  284,210,000,000 ","  1,948,806,000,000 ",,  0.02 ,-0.49,0.10,0.88,1.32,0.5,  0.00 ,  0.66 ,"  401,774,000,000 ","  323,485,000,000 ","  1,763,517,000,000 ",,  0.01 ,-0.45,0.10,0.95,1.38,0.40,0.00,  0.66 ,"  320,155,000,000 ","  765,703,000,000 ","  1,543,197,000,000 ",
12,DLTA,Delta Djakarta Tbk.,  0.71 ,  0.74 ,0.18,  10.03 ,0.52,0.40,  0.00 ,  0.85 ,0.07,"  190,439,817,000 ","  335,398,629,000 ","  430,426,648,000 ",,  0.70 ,0.74,0.23,10.01,0.60,0.4,0.00,  0.85 ,"  230,065,807,000 ","  196,829,126,000 ","  412,693,957,000 ",,  0.70 ,0.74,0.21,10.33,0.61,0.40,0.00,  0.85 ,"  199,611,841,000 ","  135,317,376,000 ","  428,246,934,000 ",,  0.67 ,0.80,0.16,6.42,0.58,0.40,0.00,  0.85 ,"  142,367,399,000 ","  177,516,395,000 ","  431,065,219,000 ",
13,DSFI,Dharma Samudera Fishing Indust,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,0.01,0.69,#DIV/0!,,,  -   ,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,0.01,0.69,,,  -   ,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,0.01,0.69,,,  -   ,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,0.01,0.69,,,  -   ,
14,DSNG,Dharma Satya Nusantara Tbk.,  0.03 ,  0.29 ,0.10,  0.79 ,0.52,0.33,  0.09 ,  0.56 ,0.09,"  739,649,000,000 ","  1,055,505,000,000 ","  612,071,000,000 ",,  0.01 ,0.33,0.14,0.88,0.63,0.33,  0.09 ,  0.56 ,"  1,206,587,000,000 ","  1,538,027,000,000 ","  735,706,000,000 ",,  0.00 ,0.34,0.10,0.80,0.59,0.33,  0.15 ,  0.56 ,"  841,665,000,000 ","  1,874,372,000,000 ","  823,456,000,000 ",,  0.02 ,0.37,0.12,1.33,0.58,0.33,  0.15 ,  0.56 ,"  1,141,375,000,000 ","  2,150,615,000,000 ","  914,119,000,000 ",
15,EPMT,Enseval Putera Megatrading Tbk,0.55,0.65,0.11,2.54,2.64,,0.00,0.92,#DIV/0!,"847,881,142,916",,  -   ,,0.54,0.64,0.11,2.28,2.69,,0.00,0.92,"847,532,822,398",,  -   ,,0.52,0.62,0.08,1.92,2.60,,0.00,0.92,"688,498,562,591",,  -   ,,0.51,0.61,0.08,1.68,2.69,,0.00,0.92,"741,773,914,585",,  -   ,
16,FISH,FKS Multi Agro Tbk.,0.17,0.26,0.08,95885.50,2.52,,0.00,0.89,#DIV/0!,"28,894,111",,  -   ,,0.23,0.35,0.11,110177.94,3.39,,0.00,0.89,"32,243,358",,  -   ,,0.19,0.35,0.09,84950.70,2.85,,0.00,0.89,"24,183,057",,  -   ,,0.17,0.33,0.05,147233.22,2.48,,0.00,0.89,"8,727,192",,  -   ,
17,GGRM,Gudang Garam Tbk.,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,0.02,0.79,#DIV/0!,,,  -   ,,0.30,0.64,0.04,1.13,1.41,,0.02,0.79,"2,779,739,000,000",,  -   ,,0.27,0.65,0.08,1.24,1.29,,0.02,0.79,"5,324,514,000,000",,  -   ,,0.32,0.72,0.02,1.11,1.16,,0.02,0.79,"980,805,000,000",,  -   ,
18,GZCO,Gozco Plantations Tbk.,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,0.00,0.65,#DIV/0!,,,  -   ,,0.00,-0.57,0.07,0.52,0.27,,0.00,0.65,"75,634,000,000",,  -   ,,0.11,-0.55,0.02,0.73,0.35,,0.00,0.65,"2,141,000,000",,  -   ,,-0.10,-0.48,0.05,0.60,0.35,,0.00,0.65,"60,542,000,000",,  -   ,
19,HERO,DFI Retail Nusantara Tbk.,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,0.04,0.95,#DIV/0!,,,  -   ,,-0.13,-0.33,-0.00,1.05,0.64,,0.04,0.95,"59,111,000,000",,  -   ,,-0.31,-0.42,-0.01,0.85,0.76,,0.04,0.95,"-132,165,000,000",,  -   ,,-0.31,-0.50,0.02,0.73,0.96,,0.04,0.95,"-5,585,000,000",,  -   ,
20,HMSP,H.M. Sampoerna Tbk.,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,0.00,0.92,#DIV/0!,,,  -   ,,0.31,0.12,0.15,3.67,2.03,,0.00,0.92,"6,323,744,000,000",,  -   ,,0.30,0.15,0.19,4.09,2.10,,0.00,0.92,"8,096,811,000,000",,  -   ,,0.27,0.12,0.16,2.85,2.17,,0.00,0.92,"6,645,774,000,000",,  -   ,
21,ICBP,Indofood CBP Sukses Makmur Tbk,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,0.08,0.82,#DIV/0!,,,  -   ,,0.18,0.25,0.08,2.02,0.56,,0.08,0.82,"4,587,367,000,000",,  -   ,,0.22,0.29,0.11,2.16,0.57,,0.08,0.82,"6,990,572,000,000",,  -   ,,0.27,0.31,0.11,2.25,0.58,,0.08,0.82,"7,079,369,000,000",,  -   ,
22,INDF,Indofood Sukses Makmur Tbk.,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,0.15,0.59,#DIV/0!,,,  -   ,,0.13,0.23,0.09,0.68,0.61,,0.15,0.59,"6,359,094,000,000",,  -   ,,0.16,0.25,0.10,0.66,0.60,,0.15,0.59,"8,147,019,000,000",,  -   ,,0.21,0.26,0.10,0.73,0.57,,0.15,0.59,"8,641,612,000,000",,  -   ,
23,JAWA,Jaya Agra Wattie Tbk.,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,0.00,0.92,#DIV/0!,,,  -   ,,-0.11,-0.37,-0.01,0.49,0.27,,0.00,0.92,"-300,206,074,060",,  -   ,,-0.09,-0.45,-0.01,1.09,0.25,,0.00,0.92,"-302,478,451,258",,  -   ,,-0.00,-0.48,-0.00,0.71,0.28,,0.00,0.92,"-193,042,953,159",,  -   ,
24,JPFA,Japfa Comfeed Indonesia Tbk.,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,0.15,0.67,#DIV/0!,,,  -   ,,0.23,0.30,0.08,0.59,1.50,,0.15,0.67,"1,419,855,000,000",,  -   ,,0.19,0.30,0.06,0.52,1.50,,0.15,0.67,"929,716,000,000",,  -   ,,0.23,0.36,0.15,0.93,1.61,,0.15,0.67,"3,018,892,000,000",,  -   ,
25,LAPD,Leyand International Tbk.,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,#DIV/0!,#DIV/0!,#DIV/0!,,,  -   ,,-231.71,-6905.29,3612.44,12.80,0.00,,#DIV/0!,#DIV/0!,"233,113,930,682",,  -   ,,0.01,-2.20,-0.01,0.15,0.85,,#DIV/0!,#DIV/0!,"-1,303,577,016",,  -   ,,-0.04,-2.00,-0.11,0.36,0.99,,#DIV/0!,#DIV/0!,"-13,683,761,697",,  -   ,
26,LSIP,PP London Sumatra Indonesia Tb,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,0.07,0.69,#DIV/0!,,,  -   ,,0.35,0.73,0.10,4.67,0.37,,0.07,0.69,"1,036,448,000,000",,  -   ,,0.38,0.76,0.07,5.20,0.33,,0.07,0.69,"761,995,000,000",,  -   ,,0.47,0.78,0.13,5.17,0.33,,0.07,0.69,"1,476,909,000,000",,  -   ,
27,MAIN,Malindo Feedmill Tbk.,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,0.03,0.76,#DIV/0!,,,  -   ,,0.07,0.22,0.03,0.30,1.93,,0.03,0.76,"26,239,995,000",,  -   ,,0.08,0.24,0.05,0.34,2.19,,0.03,0.76,"63,373,085,000",,  -   ,,0.21,0.34,0.14,0.62,2.32,,0.03,0.76,"488,029,417,000",,  -   ,
28,MBTO,Martina Berto Tbk.,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,0.00,0.68,#DIV/0!,,,  -   ,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,0.00,0.68,,,  -   ,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,0.00,0.68,,,  -   ,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,0.00,0.68,,,  -   ,
29,MIDI,Midi Utama Indonesia Tbk.,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,0.02,0.81,#DIV/0!,,,  -   ,,-0.13,0.23,0.09,1.91,2.26,,0.02,0.81,"398,918,000,000",,  -   ,,-0.02,0.25,0.09,3.71,2.23,,0.02,0.81,"516,658,000,000",,  -   ,,-0.03,0.27,0.08,3.24,2.28,,0.02,0.81,"546,407,000,000",,  -   ,
30,MLBI,Multi Bintang Indonesia Tbk.,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,0.03,0.89,#DIV/0!,,,  -   ,,-0.15,0.31,0.38,8.19,0.92,,0.03,0.89,"924,767,000,000",,  -   ,,-0.04,0.40,0.42,8.10,0.98,,0.03,0.89,"1,066,178,000,000",,  -   ,,-0.06,0.37,0.43,6.05,0.98,,0.03,0.89,"1,141,948,000,000",,  -   ,
31,MLPL,Multipolar Tbk.,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,0.03,0.64,#DIV/0!,,,  -   ,,0.01,0.09,0.03,0.01,0.83,,0.03,0.64,"151,227,000,000",,  -   ,,0.00,0.10,0.04,0.00,0.84,,0.03,0.64,"172,049,000,000",,  -   ,,0.00,0.11,0.05,0.01,0.87,,0.03,0.64,"142,830,000,000",,  -   ,
32,MRAT,Mustika Ratu Tbk.,0.42,0.33,0.03,0.50,0.57,,0.00,0.76,#DIV/0!,"358,126,931",,  -   ,,0.50,0.38,0.09,1.16,0.41,,0.00,0.76,"67,833,011,050",,  -   ,,0.54,0.39,0.00,0.68,0.47,,0.00,0.76,"-14,140,399,378",,  -   ,,0.41,0.30,0.02,0.54,0.41,,0.00,0.76,"-5,122,538,773",,  -   ,
33,MYOR,Mayora Indah Tbk.,  0.37 ,  0.54 ,0.09,  5.33 ,1.40,0.40,  0.25 ,  0.59 ,0.07,"  1,211,052,647,953 ","  1,041,955,003,348 ","  844,085,689,408 ",,  0.41 ,0.55,0.11,2500.00,1.38,0.40,  0.25 ,  0.59 ,"  1,970,064,538,149 ","  1,619,570,638,186 ","  847,714,654,902 ",,  0.26 ,0.61,0.18,6.48,1.32,0.40,  0.25 ,  0.59 ,"  3,244,872,091,221 ","  5,259,181,989,696 ","  831,008,408,714 ",,  0.41 ,0.55,0.13,4.92,1.21,0.40,  0.25 ,  0.59 ,"  3,067,667,675,407 ","- 463,359,496,912 ","  967,806,352,377 ",
34,PSDN,Prasidha Aneka Niaga Tbk,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.33,  0.09 ,  0.68 ,#DIV/0!,,,  -   ,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.33,  0.08 ,  0.66 ,,,  -   ,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.33,  0.05 ,  7.00 ,,,  -   ,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.40,  0.05 ,  0.64 ,,,  -   ,
35,RANC,Supra Boga Lestari Tbk.,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,0.00,0.88,#DIV/0!,,,  -   ,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,0.00,0.88,,,  -   ,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,0.00,0.88,,,  -   ,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,0.00,0.88,,,  -   ,
